x,y,action
16.141469955,70.097145081,
16.130662918,70.128562927,
16.093925476,70.370635986,
16.078647614,70.756996155,
15.921777725,72.900222778,
15.578108788,74.910438538,
15.403329849,77.04259491,
15.071481705,79.015602112,
14.500992775,81.121803284,continue
14.090484619,83.087760925,
14.170555115,84.165260315,
13.951555252,86.251495361,
13.889226913,88.289321899,
13.821617126,90.328460693,
13.751894951,92.378257751,
13.598963737,94.388343811,
13.602398872,96.579940796,
13.492747307,98.641067505,
13.337382317,100.960395813,
13.255111694,103.01789856,
13.130125046,105.080581665,
12.915477753,107.408210754,continue
13.515849113,109.36177063,
14.715166092,110.974998474,
16.313217163,112.149299622,
18.304401398,112.601417542,
20.517562866,112.762557983,
22.594280243,112.784889221,
24.663671494,112.853134155,
26.692815781,112.956123352,
28.721988678,113.065208435,
30.733959198,113.288879395,
32.554412842,114.122612,continue
33.606571198,115.059020996,
34.049346924,115.902709961,
34.049926758,116.629272461,
33.893745422,118.935272217,
33.838909149,120.927986145,
33.730278015,123.101104736,
33.721549988,125.272544861,
33.701816559,127.351783752,
33.685520172,129.424362183,continue
34.081642151,130.242202759,
35.010314941,131.489868164,
36.303474426,133.146575928,
36.831474304,134.236221313,
36.922077179,135.450149536,
36.997875214,136.523803711,
37.921836853,138.254013062,
39.001811981,140.004364014,
40.16696167,141.914337158,
41.294124603,143.568984985,continue
42.422233582,145.047180176,
42.570041656,145.746017456,
42.622058868,147.515701294,
42.434696198,149.509628296,continue
42.018062592,150.748275757,
41.177597046,152.562515259,
40.545928955,153.588150024,
39.777263641,155.209976196,
39.338104248,155.965957642,
38.809936523,157.054260254,
38.717674255,157.648117065,
38.564418793,158.125366211,
38.313518524,158.732711792,
38.194755554,159.559768677,
38.350997925,160.730377197,
38.845039368,161.848526001,
40.39447403,163.103713989,continue
42.288589478,163.714233398,
44.330120087,163.750732422,
46.405010223,163.787490845,
48.415485382,163.897491455,
50.563678741,163.870330811,
52.63974762,163.902770996,
54.830966949,163.938598633,continue
56.825843811,163.986526489,
58.950004578,164.104797363,
60.998210907,164.142990112,
63.026794434,164.156814575,
65.144111633,164.270935059,
67.255722046,164.396743774,
69.25907135,164.529968262,continue
71.406417847,164.661346436,
73.440910339,164.731948853,
75.049827576,164.811431885,
77.082687378,164.922393799,
79.187416077,165.105865479,
81.221191406,165.214538574,
83.239242554,165.298370361,
85.537025452,165.565490723,
87.585762024,165.608978271,
89.603797913,165.732681274,
91.669403076,165.846847534,continue
94.143798828,165.957122803,
96.153289795,165.895462036,
98.224853516,166.195556641,
100.377296448,166.464294434,
102.458862305,166.577835083,
104.510063171,166.642410278,
106.77419281,166.709197998,continue
108.144477844,166.422698975,
109.529968262,165.383255005,
110.768112183,163.698822021,
111.163383484,161.759857178,
111.220947266,159.742294312,
111.276168823,157.70614624,
111.152366638,155.693603516,
110.589920044,153.675140381,
109.972801208,151.645782471,
109.427879333,149.715179443,
109.065895081,147.555130005,continue
108.909294128,145.474136353,
108.85559845,143.446777344,
108.930885315,141.399414063,
109.1147995,139.099639893,
109.218414307,137.069702148,
109.311523438,135.01399231,
109.47467041,132.933227539,continue
109.640625,130.925735474,
109.708015442,128.906387329,
109.751487732,126.831207275,
109.803955078,124.801979065,
110.044799805,122.637542725,
110.117034912,120.455726624,continue
109.923088074,118.467933655,
109.817695618,116.312286377,
109.941940308,113.952598572,
110.012107849,111.656425476,
110.091239929,109.519874573,
110.246963501,107.56993103,continue
110.402305603,104.862670898,
110.471626282,102.401954651,
110.689903259,100.130744934,
110.725372314,98.127723694,
110.827392578,96.114570618,
110.960456848,93.960594177,
111.085067749,91.655075073,
111.129753113,89.493392944,continue
111.272529602,87.162414551,
111.42641449,85.02910614,
111.496170044,82.976028442,
111.698753357,81.025230408,
112.190422058,80.479484558,
112.736564636,80.368682861,
113.277580261,80.146492004,continue
113.915153503,79.515655518,
114.078399658,77.153335571,
114.378425598,77.740394592,
114.339302063,76.628013611,
114.517951965,74.602218628,
114.66632843,72.604431152,
114.757995605,70.581329346,
114.801963806,68.619094849,continue
114.633163452,66.597160339,
114.614067078,64.778915405,
114.405151367,63.839168549,
113.7890625,63.22309494,
113.267486572,62.929668427,
112.86227417,62.872203827,continue
112.517181396,62.76001358,
112.135032654,62.52155304,
111.766448975,62.247516632,
110.94417572,61.925655365,
108.886856079,61.777362823,
106.767242432,61.764533997,
104.6953125,61.743995667,
102.600692749,61.665218353,
100.579429626,61.672954559,
98.565605164,61.526447296,
96.545913696,61.236503601,continue
94.386116028,61.130317688,
92.380195618,61.081180573,
90.360847473,61.003883362,
88.361083984,60.871124268,
86.327445984,60.747169495,
84.231140137,60.631351471,
82.043144226,60.617565155,
80.01789856,60.610244751,
78.133392334,60.436943054,continue
76.142295837,60.382553101,
75.286598206,60.245449066,
73.119804382,60.204048157,
72.447265625,60.032745361,continue
72.219291687,59.027206421,
71.706497192,58.649349213,
71.027351379,58.346469879,
69.555725098,58.058525085,
67.553573608,57.760475159,
65.555740356,57.760280609,
63.467529297,57.603340149,
61.408424377,57.50579834,
59.410228729,57.401485443,continue
57.337406158,57.244838715,
55.330387115,57.010322571,
53.282058716,56.811325073,
51.240650177,56.226791382,
49.43523407,55.238990784,
47.936100006,53.778362274,
46.869476318,52.079509735,
46.50592804,50.066375732,continue
46.590431213,48.009529114,
46.684978485,45.902534485,
46.713882446,43.877044678,
46.948856354,41.852180481,
47.051696777,39.870193481,
47.141262054,37.876853943,
47.163547516,35.842609406,
47.313591003,33.663459778,continue
47.27501297,31.669347763,
47.429298401,30.329380035,
47.520103455,29.484315872,
47.551750183,28.305742264,
47.563850403,27.988040924,
47.553890228,27.816257477,
47.553798676,27.819324493,
47.556030273,27.814680099,
47.545032501,27.817920685,
47.548500061,27.821266174,
47.5522995,27.82153511,
47.55298996,27.824264526,
47.553722382,27.828767776,
47.549472809,27.776380539,stop
47.549472809,27.776380539,
48.307956696,25.606765747,
49.058826447,24.515893936,
50.03812027,22.734912872,
50.966140747,21.021099091,
51.922683716,18.994577408,
52.997745514,17.130365372,continue
54.038230896,15.501732826,
55.206157684,13.680179596,
56.19626236,11.936977386,
56.3620224,11.543866158,
56.833244324,10.655331612,
57.035186768,10.441835403,
57.342945099,9.931902885,
57.603046417,9.283618927,continue
57.762947083,8.694195747,
57.800498962,8.277200699,
57.826576233,8.093064308,
57.830135345,7.770597935,
57.846351624,7.207188606,
57.943241119,6.969691753,
58.513343811,6.350207329,
58.940490723,5.047240257,continue
59.113464355,4.004422665,
59.72996521,2.065675497,
59.961658478,0.837499976,
60.417110443,-0.75073874,
60.869903564,-2.810416937,continue
60.871128082,-4.856938839,
60.901496887,-6.67376709,
60.970478058,-7.333082199,
60.859203339,-7.743911743,
60.895606995,-7.951621056,
60.863517761,-7.93772459,stop
